#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
23.4%	117000	298.1350131111718	43.2	25:30
23.6%	118000	299.9205458679984	43.2	25:28
23.8%	119000	298.7618902681939	43.2	25:25
24.0%	120000	299.4885698780133	43.1	25:23
24.2%	121000	299.80733616040084	43.1	25:20
24.4%	122000	299.31792336285844	43	25:18
24.6%	123000	299.3116517114483	43	25:15
24.8%	124000	301.7109103562685	42.9	25:13
25.0%	125000	299.5372711711064	42.9	25:10
25.2%	126000	298.6493845214689	42.8	25:08
25.4%	127000	298.13734898133987	42.8	25:05
25.6%	128000	300.09244031379103	42.8	25:03
25.8%	129000	301.67667225928454	42.7	25:01
26.0%	130000	298.2125448018188	42.7	24:58
26.2%	131000	298.6902782485208	42.6	24:56
26.4%	132000	297.7234199882697	42.6	24:53
26.6%	133000	299.7908890745599	42.5	24:51
26.8%	134000	299.81402378869024	42.5	24:48
27.0%	135000	298.97055067046745	42.5	24:45
27.2%	136000	298.57726053025215	42.4	24:42
27.4%	137000	297.9547671295729	42.4	24:39
27.6%	138000	299.5333673880858	42.3	24:37
27.8%	139000	299.2853811716129	42.3	24:34
28.0%	140000	298.51198415843214	42.3	24:31
28.2%	141000	298.45672322993556	42.2	24:29
28.4%	142000	298.93487265351683	42.2	24:26
28.6%	143000	300.4533162556467	42.1	24:23
28.8%	144000	299.4560596849892	42.1	24:20
29.0%	145000	298.3221387103891	42.1	24:17
29.2%	146000	300.65631297271824	42.1	24:14
29.4%	147000	299.02443567544043	42	24:11
29.6%	148000	298.93250478512726	42	24:09
29.8%	149000	299.1806189944861	41.9	24:06
30.0%	150000	299.17607524703595	41.9	24:03
30.2%	151000	300.96547978866164	41.9	24:00
30.4%	152000	302.1692528807534	41.8	23:58
30.6%	153000	297.20114501726704	41.8	23:55
30.8%	154000	297.95214327541146	41.7	23:53
31.0%	155000	299.5169203022449	41.7	23:50
31.2%	156000	297.5531894499941	41.6	23:47
31.4%	157000	299.78666530932446	41.6	23:44
31.6%	158000	299.4640592403593	41.6	23:42
31.8%	159000	297.77948087230334	41.5	23:39
32.0%	160000	299.1141266902499	41.5	23:36
32.2%	161000	300.83131124599436	41.4	23:33
32.4%	162000	300.12757436097644	41.4	23:30
32.6%	163000	296.7006288368709	41.4	23:28
32.8%	164000	298.9289209843215	41.3	23:25
33.0%	165000	298.8478054928687	41.3	23:22
33.2%	166000	300.2621908787444	41.2	23:20
33.4%	167000	299.87187657312677	41.2	23:17
33.6%	168000	298.56254134837116	41.1	23:14
33.8%	169000	299.06472143628423	41.1	23:11
34.0%	170000	300.01974035458755	41.1	23:09
34.2%	171000	299.6402414478303	41	23:06
34.4%	172000	298.5608774408542	41	23:03
34.6%	173000	298.0152757663923	40.9	23:01
34.8%	174000	298.73763561631176	40.8	22:59
35.0%	175000	299.8850918385981	40.8	22:58
35.2%	176000	300.0314197054279	40.7	22:56
35.4%	177000	300.7231252591692	40.6	22:54
35.6%	178000	298.82294287477845	40.6	22:52
35.8%	179000	298.9262971301601	40.5	22:50
36.0%	180000	299.30870787507206	40.4	22:47
36.2%	181000	300.0296598032465	40.4	22:44
36.4%	182000	298.4605630165132	40.3	22:42
36.6%	183000	299.54296685452994	40.3	22:39
36.8%	184000	300.19461063497783	40.3	22:35
37.0%	185000	298.55322986592034	40.2	22:33
37.2%	186000	299.648816971187	40.2	22:30
37.4%	187000	298.24175917803035	40.2	22:26
37.6%	188000	299.66388813350426	39.9	22:29
37.8%	189000	297.6329930143662	39.7	22:32
38.0%	190000	299.6196345931969	39.5	22:36
38.2%	191000	298.9303289060666	39.3	22:39
38.4%	192000	299.53688719244866	39.1	22:42
38.6%	193000	297.77823294166564	38.8	22:46
38.8%	194000	300.2988608405609	38.6	22:49
39.0%	195000	297.3778391962816	38.4	22:52
39.2%	196000	299.8419902342641	38.2	22:55
39.4%	197000	298.3778156157649	38	22:59
39.6%	198000	296.72731535358554	37.7	23:02
39.8%	199000	297.92264091520656	37.5	23:05
40.0%	200000	299.18417079707046	37.3	23:08
40.2%	201000	299.2039776961668	37.1	23:10
40.4%	202000	298.2568303403476	37	23:13
40.6%	203000	298.2076170757108	36.8	23:16
40.8%	204000	298.2968601154196	36.6	23:18
41.0%	205000	299.9809905083749	36.4	23:20
41.2%	206000	298.9485998905319	36.2	23:23
41.4%	207000	299.0900000312537	36	23:25
41.6%	208000	298.9923414592956	35.8	23:27
41.8%	209000	298.5860600411592	35.7	23:29
42.0%	210000	298.6872064192587	35.5	23:31
42.2%	211000	297.6876139784332	35.3	23:33
42.4%	212000	300.4719392205483	35.1	23:35
42.6%	213000	298.9143937917694	35	23:37
42.8%	214000	297.8086632502934	34.8	23:39
43.0%	215000	299.38979136830335	34.7	23:41
43.2%	216000	298.6020591518994	34.5	23:42
43.4%	217000	300.7676667834699	34.3	23:43
43.6%	218000	299.22228067885356	34.2	23:45
43.8%	219000	298.3423615863647	34	23:46
44.0%	220000	299.5744531044666	33.9	23:47
44.2%	221000	299.4898498068725	33.8	23:48
44.4%	222000	298.32492255565785	33.6	23:48
44.6%	223000	300.57938924827937	33.5	23:49
44.8%	224000	299.18189892334533	33.3	23:50
45.0%	225000	299.19277831864866	33.2	23:50
45.2%	226000	298.04007438803956	33.1	23:51
45.4%	227000	297.3874066645042	33	23:51
45.6%	228000	299.14567693662957	32.9	23:50
45.8%	229000	300.3489380571777	32.7	23:50
46.0%	230000	298.6843265793255	32.6	23:49
46.2%	231000	302.8431354251302	32.5	23:49
46.4%	232000	297.07228817936556	32.4	23:48
46.6%	233000	301.83659937024345	32.3	23:47
46.8%	234000	299.0142282427882	32.2	23:47
47.0%	235000	297.43271614612047	32.1	23:46
47.2%	236000	299.71204545683224	32	23:46
47.4%	237000	300.2491996008234	31.9	23:45
47.6%	238000	299.23200813818363	31.8	23:45
47.8%	239000	298.82815858487976	31.7	23:44
48.0%	240000	299.3371542939681	31.5	23:44
48.2%	241000	299.7940568984865	31.5	23:42
48.4%	242000	299.7443636605274	31.4	23:41
48.6%	243000	301.7452764461384	31.3	23:40
48.8%	244000	300.51875261857407	31.2	23:38
49.0%	245000	299.38527961907465	31.1	23:37
49.2%	246000	299.24199158328554	31	23:35
49.4%	247000	297.77672902525603	30.9	23:33
49.6%	248000	298.60714686911484	30.8	23:32
49.8%	249000	300.50556935132414	30.8	23:30
50.0%	250000	298.7083252454358	30.7	23:28
50.2%	251000	300.0688256263385	30.6	23:26
50.4%	252000	298.9725665584207	30.5	23:24
50.6%	253000	301.4520127462708	30.4	23:22
50.8%	254000	298.2542064861862	30.4	23:20
51.0%	255000	299.34723373373447	30.3	23:18
51.2%	256000	298.24812682410493	30.2	23:15
51.4%	257000	297.62416150523757	30.1	23:13
51.6%	258000	297.45287502565316	30.1	23:11
51.8%	259000	297.7321235045124	30	23:08
52.0%	260000	298.2185604674571	29.9	23:06
52.2%	261000	299.9907179677049	29.8	23:04
52.4%	262000	298.09274346059624	29.8	23:02
52.6%	263000	296.35997577099084	29.7	22:59
52.8%	264000	294.14070712199776	29.6	22:57
53.0%	265000	296.15960290808067	29.5	22:54
53.2%	266000	302.124263381352	29.5	22:51
53.4%	267000	297.248502385058	29.4	22:48
53.6%	268000	295.718795408967	29.3	22:45
53.8%	269000	299.7560750095892	29.3	22:43
54.0%	270000	300.2134575874298	29.2	22:40
54.2%	271000	298.20403327490504	29.2	22:37
54.4%	272000	299.7694822643895	29.1	22:34
54.6%	273000	300.4455726860484	29	22:30
54.8%	274000	298.24214315668814	29	22:27
55.0%	275000	300.28580556619687	28.9	22:24
55.2%	276000	298.2618220628986	28.9	22:21
55.4%	277000	298.85103731323824	28.8	22:18
55.6%	278000	298.53809470716016	28.7	22:15
55.8%	279000	299.42265354176374	28.7	22:12
56.0%	280000	299.4819142479453	28.6	22:08
56.2%	281000	299.0167881005066	28.6	22:05
56.4%	282000	299.8617971333604	28.5	22:01
56.6%	283000	299.3111397399046	28.4	21:58
56.8%	284000	302.8287682236855	28.4	21:55
57.0%	285000	300.83275116596104	28.3	21:51
57.2%	286000	299.78279352452535	28.3	21:47
57.4%	287000	298.548942104242	28.2	21:44
57.6%	288000	298.9700706971453	28.2	21:40
57.8%	289000	299.14426901488446	28.1	21:37
58.0%	290000	299.9597116910904	28.1	21:33
58.2%	291000	301.69523122774314	28	21:29
58.4%	292000	298.85513308558774	28	21:25
58.6%	293000	297.82043859579824	27.9	21:21
58.8%	294000	298.88969116478654	27.9	21:17
59.0%	295000	298.1610276652354	27.8	21:14
59.2%	296000	298.44069212097384	27.8	21:10
59.4%	297000	300.73707648373465	27.7	21:06
59.6%	298000	300.9853826824224	27.7	21:02
59.8%	299000	298.8718361572005	27.6	20:58
60.0%	300000	298.75347473594456	27.6	20:54
