molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,readout,smiles,pActivity
CHEMBL117021,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,77.0,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,7.113509274827518
CHEMBL2335052,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.2239,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCCOCC(COP(O)(O)=S)OC,9.64994590642097
CHEMBL2017139,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.2754,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)S)OC,9.560036064079096
CHEMBL2335051,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.2042,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCC(=O)OC(COC)COP([O-])(O)=S.[Na+],9.689944262249108
CHEMBL2335050,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.3981,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],9.400007822415901
CHEMBL2335049,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.3631,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCOC(COC)COP([O-])(O)=S.[Na+],9.439973751087107
CHEMBL2335048,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,1.072,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCCOC[C@H](COP(O)(O)=S)OC,8.969805214643248
CHEMBL2335047,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.3715,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCCOC[C@@H](COP(O)(O)=S)OC,9.430041181903405
CHEMBL153043,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.4467,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(O)=S)OC,9.349984047528162
CHEMBL357053,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,0.2692,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COP(O)(O)=S)OC,9.569924944448061
CHEMBL364797,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,575.44,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,6.2399999527072705
CHEMBL117021,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,77.62,nM,CHEMBL2344996,B,Agonist activity at human LPA3 receptor transfected in HEK293 cells after 1 hr by TGFalpha shedding assay,CHEMBL2331094,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,7.110026361596004
CHEMBL3621956,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,321.8,nM,CHEMBL3624256,B,Agonist activity at human LPA3 receptor transfected in HEK293T cells after 30 mins by GTP[gamma-35S] binding assay,CHEMBL3621155,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](CO)COP(=O)(O)O,6.4924139602369895
CHEMBL3621957,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,683.7,nM,CHEMBL3624256,B,Agonist activity at human LPA3 receptor transfected in HEK293T cells after 30 mins by GTP[gamma-35S] binding assay,CHEMBL3621155,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](CN)COP(=O)(O)O,6.165134420099962
CHEMBL3621958,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,112.6,nM,CHEMBL3624256,B,Agonist activity at human LPA3 receptor transfected in HEK293T cells after 30 mins by GTP[gamma-35S] binding assay,CHEMBL3621155,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@H](C)COP(=O)(O)O,6.9484616094846725
CHEMBL1395060,CHEMBL3250,Lysophosphatidic acid receptor Edg-7,EC50,=,276.0,nM,CHEMBL3624256,B,Agonist activity at human LPA3 receptor transfected in HEK293T cells after 30 mins by GTP[gamma-35S] binding assay,CHEMBL3621155,EC50,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COP(O)(O)=S)OC,6.559090917934782
