molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,readout,smiles,pActivity
CHEMBL509819,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,100.0,nM,CHEMBL2432084,B,Displacement of [3H]-2-furoyl-LIGRL-NH2 from human PAR2 expressed in human NCTC-2544 cells after 60 mins by scintillation counting analysis,CHEMBL2429713,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1ccco1)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN)C(N)=O,7.0
CHEMBL2431721,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,140.0,nM,CHEMBL2434650,B,Antagonist activity at PAR2 in human neutrophils assessed as inhibition of chemotactic migration of cells towards trypsin/SLIGRL-NH2,CHEMBL2429713,IC50,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC,6.853871964321762
CHEMBL463763,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,23.0,nM,CHEMBL2432072,B,Antagonist activity at human PAR2 expressed in human A549 cells coexpressing TACR1 assessed as inhibition of substance P-induced IL-8 production by ELISA,CHEMBL2429713,IC50,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,7.638272163982407
CHEMBL463763,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,14.0,nM,CHEMBL2432073,B,Antagonist activity at human PAR2 expressed in human A549 cells assessed as inhibition of 2f-LIGRLO-NH2-induced NFkappaB activation by luciferase reporter gene assay,CHEMBL2429713,IC50,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,7.853871964321762
CHEMBL2431727,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,1100.0,nM,CHEMBL2432074,B,Antagonist activity at human PAR2 expressed in human NCTC-2544 cells assessed as inhibition of SLIGKV-NH2-induced NFkappaB activation preincubated for 15 to 30 mins followed by SLIGKV-NH2 addition measured after 6 hrs by luciferase reporter gene assay,CHEMBL2429713,IC50,NCCCC[C@H](NC(=O)CNC(=O)Nc1ccc2c(c1)c(CN1CCCC1)cn2Cc1c(Cl)cccc1Cl)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC(c1ccccc1)c1ccccc1,5.958607314841775
CHEMBL3734977,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,5000000.0,nM,CHEMBL3737113,B,Antagonist activity at protease-activated receptor 2 (unknown origin),CHEMBL3734742,IC50,CC(C)CC(=O)N1CCN(C(=O)CCCCCN)CC1,2.3010299956639813
CHEMBL2431617,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,2000.0,nM,CHEMBL3737113,B,Antagonist activity at protease-activated receptor 2 (unknown origin),CHEMBL3734742,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C(=O)N1CCC2(C=Cc3ccccc32)CC1,5.698970004336019
CHEMBL2431717,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,4500.0,nM,CHEMBL3757301,B,Displacement of europium-labeled 2f-LIGRLO-NH2 from human PAR2 expressed in CHO cells after 1 to 2 hrs,CHEMBL3751717,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C(=O)NCc1ccccc1OC,5.346787486224656
CHEMBL2431717,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,1995.26,nM,CHEMBL3757296,B,Antagonist activity at PAR2 in human HT-29 cells assessed as inhibition of trypsin-induced ca2+ release preincubated for 15 mins measured after 1 hr by FLIPR assay,CHEMBL3751717,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C(=O)NCc1ccccc1OC,5.700000503883016
CHEMBL2431717,CHEMBL5963,Proteinase-activated receptor 2,IC50,=,1900.0,nM,CHEMBL3757296,B,Antagonist activity at PAR2 in human HT-29 cells assessed as inhibition of trypsin-induced ca2+ release preincubated for 15 mins measured after 1 hr by FLIPR assay,CHEMBL3751717,IC50,CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccno1)C(=O)NCc1ccccc1OC,5.721246399047171
