#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
10.6%	53000	1460483.3552866802	1787385.0427866802	300.77099653129955	0.9718576464778367	20.4	1:03:02
10.8%	54000	1460472.9060679302	1788621.9060679302	301.91860585225464	0.9718576464778367	20.3	1:03:19
11.0%	55000	1459045.8591929302	1785075.9216929302	299.9690443546177	0.9718576464778367	20.2	1:03:33
11.2%	56000	1454175.5193491802	1780938.8005991802	300.64365370215415	0.9718576464778367	20	1:03:48
11.4%	57000	1454625.2029429302	1781126.6404429302	300.4027402757804	0.9718576464778367	19.9	1:04:07
11.6%	58000	1451190.8787241802	1777816.1287241802	300.5166558976079	0.9718576464778367	19.8	1:04:23
11.8%	59000	1451075.0662241802	1778316.9412241802	301.08399134685095	0.9718576464778367	19.7	1:04:36
12.0%	60000	1448000.3396616802	1774122.9959116802	300.05423667856394	0.9718576464778367	19.6	1:04:48
12.2%	61000	1446319.4295054302	1773621.8357554302	301.13968406756777	0.9718576464778367	19.4	1:05:00
12.4%	62000	1448502.5662241802	1774460.6287241802	299.90279963157616	0.9718576464778367	19.3	1:05:12
12.6%	63000	1451947.3005991802	1777744.0505991802	299.7543815498312	0.9718576464778367	19.2	1:05:23
12.8%	64000	1445214.5662241802	1771693.3162241802	300.38186628753033	0.9718576464778367	19.1	1:05:35
13.0%	65000	1445547.0193491802	1773529.2693491802	301.76518491382166	0.9718576464778367	19	1:05:47
13.2%	66000	1453099.5076304302	1779396.8201304302	300.2149318856296	0.9718576464778367	18.9	1:05:58
13.4%	67000	1450042.4099741802	1776156.4099741802	300.046272360733	0.9718576464778367	18.9	1:06:08
13.6%	68000	1450897.5818491802	1776985.4255991802	300.02220689494055	0.9718576464778367	18.8	1:06:17
13.8%	69000	1452601.0037241802	1778402.3162241802	299.75857934912113	0.9718576464778367	18.7	1:06:29
14.0%	70000	1455707.1482554302	1782361.7732554302	300.5436828245433	0.9718576464778367	18.6	1:06:39
14.2%	71000	1457531.8474741802	1782523.3474741802	299.0134987272032	0.9718576464778367	18.5	1:06:47
14.4%	72000	1458113.9959116802	1786838.2146616802	302.4478448353388	0.9718576464778367	18.4	1:06:56
14.6%	73000	1462931.6873179302	1788883.7498179302	299.8972792379894	0.9718576464778367	18.3	1:07:05
14.8%	74000	1464913.5740366802	1790033.3552866802	299.13152589217094	0.9718576464778367	18.2	1:07:14
15.0%	75000	1469448.8748179302	1796654.2810679302	301.05043770458116	0.9718576464778367	18.2	1:07:24
15.2%	76000	1475873.1209116802	1801946.3084116802	300.0087221835228	0.9718576464778367	18.1	1:07:33
15.4%	77000	1477277.2810679302	1802909.6560679302	299.60314576719287	0.9718576464778367	18	1:07:38
15.6%	78000	1481970.3904429302	1808557.1091929302	300.4812046200427	0.9718576464778367	17.9	1:07:44
15.8%	79000	1488861.3474741802	1815617.0974741802	300.63672445812074	0.9718576464778367	17.9	1:07:50
16.0%	80000	1486542.8865366802	1811719.1365366802	299.18348084639666	0.9718576464778367	17.8	1:07:55
16.2%	81000	1485275.5662241802	1811025.2849741802	299.71110971468465	0.9718576464778367	17.7	1:08:00
16.4%	82000	1489507.8162241802	1815633.8162241802	300.0573131479066	0.9718576464778367	17.7	1:08:05
16.6%	83000	1491969.0232554302	1817447.1482554302	299.46122564873235	0.9718576464778367	17.6	1:08:10
16.8%	84000	1493057.8435679302	1819718.1560679302	300.5489156976308	0.9718576464778367	17.6	1:08:13
17.0%	85000	1497985.3826304302	1824324.2263804302	300.2531433599882	0.9718576464778367	17.5	1:08:17
17.2%	86000	1495572.6248179302	1822904.9373179302	301.1671997793519	0.9718576464778367	17.4	1:08:21
17.4%	87000	1493821.6990366802	1819124.9802866802	299.3003579293672	0.9718576464778367	17.4	1:08:24
17.6%	88000	1495487.2224741802	1820009.5349741802	298.5818154495358	0.9718576464778367	17.3	1:08:27
17.8%	89000	1497596.3865366802	1823195.7615366802	299.5727836024655	0.9718576464778367	17.3	1:08:29
18.0%	90000	1502398.9841929302	1828142.9529429302	299.70581933749736	0.9718576464778367	17.2	1:08:31
18.2%	91000	1503200.2185679302	1829761.1560679302	300.4574841788494	0.9718576464778367	17.2	1:08:32
18.4%	92000	1501383.4412241802	1826739.2537241802	299.3486901253015	0.9718576464778367	17.1	1:08:40
18.6%	93000	1504934.8865366802	1830548.3240366802	299.58572202493457	0.9718576464778367	17	1:08:50
18.8%	94000	1503849.4138804302	1829969.1013804302	300.05150523382054	0.9718576464778367	16.9	1:09:05
19.0%	95000	1504848.6482554302	1830465.1482554302	299.58853972582784	0.9718576464778367	16.8	1:09:22
19.2%	96000	1508898.4490366802	1835450.7927866802	300.44957736511833	0.9718576464778367	16.7	1:09:37
19.4%	97000	1506137.3826304302	1830996.0701304302	298.8913025149955	0.9718576464778367	16.5	1:10:18
19.6%	98000	1507037.9607554302	1832580.7107554302	299.52068488799017	0.9718576464778367	16.4	1:10:26
19.8%	99000	1508117.8943491802	1832238.2693491802	298.2120065833203	0.9718576464778367	16.4	1:10:37
20.0%	100000	1505830.5740366802	1832154.6052866802	300.2395148883208	0.9718576464778367	16.3	1:10:50
20.2%	101000	1506691.0779429302	1833324.4529429302	300.52413143059005	0.9718576464778367	16.2	1:11:04
20.4%	102000	1507741.3240366802	1834105.8865366802	300.2768062970816	0.9718576464778367	16	1:11:37
20.6%	103000	1508935.2146616802	1835410.7771616802	300.37893357843734	0.9718576464778367	16	1:11:40
20.8%	104000	1508268.8982554302	1833318.7107554302	299.0671500523749	0.9718576464778367	15.9	1:11:52
21.0%	105000	1508468.8982554302	1833271.3357554302	298.8395488251193	0.9718576464778367	15.8	1:12:00
21.2%	106000	1507518.2498179302	1834449.0623179302	300.7977934418355	0.9718576464778367	15.6	1:12:35
21.4%	107000	1508172.1482554302	1834060.9607554302	299.8390850889286	0.9718576464778367	15.6	1:12:32
21.6%	108000	1506011.1287241802	1831271.5662241802	299.2609388689114	0.9718576464778367	15.6	1:12:34
21.8%	109000	1504391.6951304302	1830732.3201304302	300.25478222683427	0.9718576464778367	15.5	1:12:38
22.0%	110000	1504843.2732554302	1831052.5857554302	300.1339661130233	0.9718576464778367	15.4	1:12:43
22.2%	111000	1503510.3123179302	1829584.5623179302	300.0096997532205	0.9718576464778367	15.4	1:12:51
22.4%	112000	1500521.3201304302	1826938.9451304302	300.32562727786484	0.9718576464778367	15.3	1:12:56
22.6%	113000	1499875.1482554302	1825614.0857554302	299.7011902574584	0.9718576464778367	15.2	1:13:16
22.8%	114000	1497033.9646616802	1822404.8084116802	299.36251986131845	0.9718576464778367	15.2	1:13:22
23.0%	115000	1498279.5466929302	1823054.6404429302	298.8143907814295	0.9718576464778367	15.1	1:13:22
23.2%	116000	1500983.1248179302	1828202.3123179302	301.06311735860083	0.9718576464778367	15.1	1:13:23
23.4%	117000	1494779.9841929302	1821865.2029429302	300.9398573205457	0.9718576464778367	15	1:13:33
23.6%	118000	1495047.0662241802	1819972.3162241802	298.95254438134907	0.9718576464778367	14.9	1:13:41
23.8%	119000	1495595.5271616802	1821501.1521616802	299.8545536917916	0.9718576464778367	14.8	1:13:54
24.0%	120000	1492558.6951304302	1819525.6013804302	300.83100205950603	0.9718576464778367	14.8	1:13:49
24.2%	121000	1493618.0701304302	1819279.0701304302	299.6294826449299	0.9718576464778367	14.8	1:13:48
24.4%	122000	1491866.1716929302	1818919.6716929302	300.9106739898655	0.9718576464778367	14.7	1:13:50
24.6%	123000	1491579.8084116802	1817178.7459116802	299.5723810737665	0.9718576464778367	14.7	1:13:55
24.8%	124000	1495691.7107554302	1820818.4607554302	299.13793759930564	0.9718576464778367	14.6	1:13:59
25.0%	125000	1494610.2576304302	1821735.5076304302	300.97668869650755	0.9718576464778367	14.5	1:14:21
25.2%	126000	1490343.0740366802	1816100.8865366802	299.71855649561684	0.9718576464778367	14.5	1:14:13
25.4%	127000	1486038.1912241802	1811475.8787241802	299.42402049612133	0.9718576464778367	14.5	1:14:05
25.6%	128000	1486557.3045054302	1811019.5857554302	298.5265827616179	0.9718576464778367	14.5	1:13:57
25.8%	129000	1486841.7537241802	1813111.8787241802	300.18991760218944	0.9718576464778367	14.5	1:13:48
26.0%	130000	1488812.8670054302	1815904.4920054302	300.94575149078156	0.9718576464778367	14.5	1:13:40
26.2%	131000	1483998.5935679302	1808697.6248179302	298.74440829189683	0.9718576464778367	14.5	1:13:31
26.4%	132000	1481729.7185679302	1806079.6248179302	298.4231903900652	0.9718576464778367	14.4	1:13:22
26.6%	133000	1481704.3240366802	1808248.6990366802	300.4422455923859	0.9718576464778367	14.4	1:13:13
26.8%	134000	1480922.4255991802	1806112.5818491802	299.1962755086161	0.9718576464778367	14.4	1:13:05
27.0%	135000	1479347.3474741802	1806231.0037241802	300.75440659848925	0.9718576464778367	14.4	1:12:56
27.2%	136000	1475498.2810679302	1801019.2185679302	299.5006159571381	0.9718576464778367	14.4	1:12:47
27.4%	137000	1477378.2966929302	1803237.9529429302	299.81225942634273	0.9718576464778367	14.4	1:12:39
27.6%	138000	1473476.3240366802	1798790.8865366802	299.3107374193923	0.9718576464778367	14.4	1:12:29
27.8%	139000	1475116.8552866802	1799622.9177866802	298.56686438357156	0.9718576464778367	14.4	1:12:21
28.0%	140000	1474802.2185679302	1799616.9060679302	298.85081962869236	0.9718576464778367	14.4	1:12:12
28.2%	141000	1476391.9490366802	1801758.8240366802	299.3588683509772	0.9718576464778367	14.3	1:12:03
28.4%	142000	1472919.5935679302	1798001.0310679302	299.0962471269054	0.9718576464778367	14.3	1:11:54
28.6%	143000	1470776.6990366802	1797090.3865366802	300.22999795979354	0.9718576464778367	14.3	1:11:44
28.8%	144000	1469003.3709116802	1794171.7459116802	299.176235329814	0.9718576464778367	14.3	1:11:36
29.0%	145000	1469185.6091929302	1795545.2966929302	300.27232097729234	0.9718576464778367	14.3	1:11:27
29.2%	146000	1471161.1677866802	1796767.5115366802	299.5791953096002	0.9718576464778367	14.3	1:11:19
29.4%	147000	1468281.9646616802	1792727.7146616802	298.51137292720426	0.9718576464778367	14.3	1:11:12
29.6%	148000	1468863.8552866802	1793003.2302866802	298.22948782967853	0.9718576464778367	14.3	1:11:03
29.8%	149000	1465922.3162241802	1792256.7224741802	300.249060568898	0.9718576464778367	14.3	1:10:55
30.0%	150000	1461491.4099741802	1786940.2224741802	299.4342562258969	0.9718576464778367	14.2	1:10:47
30.2%	151000	1459639.2537241802	1785846.5662241802	300.13212598182764	0.9718576464778367	14.2	1:10:38
30.4%	152000	1459532.3045054302	1785359.5232554302	299.78241479851414	0.9718576464778367	14.2	1:10:28
30.6%	153000	1459706.6326304302	1784979.6013804302	299.27246844093384	0.9718576464778367	14.2	1:10:20
30.8%	154000	1458284.4412241802	1783764.9412241802	299.46341080452714	0.9718576464778367	14.2	1:10:10
31.0%	155000	1457308.9529429302	1783502.3904429302	300.1193600716582	0.9718576464778367	14.2	1:10:00
31.2%	156000	1454324.7068491802	1779332.4255991802	299.02842104111755	0.9718576464778367	14.2	1:09:51
31.4%	157000	1450372.9138804302	1775760.5076304302	299.3779309600816	0.9718576464778367	14.2	1:09:41
31.6%	158000	1449836.8162241802	1775462.6287241802	299.5971078367073	0.9718576464778367	14.2	1:09:31
31.8%	159000	1448157.8435679302	1774123.2810679302	299.9095851153599	0.9718576464778367	14.2	1:09:22
32.0%	160000	1449149.7966929302	1775498.3591929302	300.2620852475168	0.9718576464778367	14.1	1:09:12
32.2%	161000	1447847.7498179302	1775030.7498179302	301.0298224847805	0.9718576464778367	14.1	1:09:02
32.4%	162000	1444605.0974741802	1770771.6599741802	300.09463330871733	0.9718576464778367	14.1	1:08:52
32.6%	163000	1442716.1170054302	1767624.1170054302	298.936673249787	0.9718576464778367	14.1	1:08:42
32.8%	164000	1444609.6795054302	1770160.3357554302	299.5279591566227	0.9718576464778367	14.1	1:08:33
33.0%	165000	1442998.5388804302	1770651.7576304302	301.4624545800957	0.9718576464778367	14.1	1:08:23
33.2%	166000	1439264.9060679302	1765809.4373179302	300.4423893526356	0.9718576464778367	14.1	1:08:13
33.4%	167000	1442099.9959116802	1768410.8084116802	300.2273527711999	0.9718576464778367	14.1	1:08:03
33.6%	168000	1439246.5076304302	1764791.6326304302	299.5228700437849	0.9718576464778367	14.1	1:07:53
33.8%	169000	1441381.7263804302	1767955.0388804302	300.46886999062224	0.9718576464778367	14.1	1:07:42
34.0%	170000	1444025.3982554302	1770553.6170054302	300.42738078257145	0.9718576464778367	14.1	1:07:32
34.2%	171000	1446451.0349741802	1772593.8162241802	300.07275299871964	0.9718576464778367	14.1	1:07:23
34.4%	172000	1447164.1795054302	1773857.2420054302	300.57904784595866	0.9718576464778367	14.1	1:07:12
34.6%	173000	1445301.5584116802	1770762.3709116802	299.44529701307044	0.9718576464778367	14	1:07:02
34.8%	174000	1445534.8045054302	1771007.4295054302	299.45616528794443	0.9718576464778367	14	1:06:51
35.0%	175000	1443359.0349741802	1769072.0974741802	299.67738356011535	0.9718576464778367	14	1:06:41
35.2%	176000	1442263.5232554302	1767867.8982554302	299.5773839304545	0.9718576464778367	14	1:06:31
35.4%	177000	1441869.0623179302	1766975.9060679302	299.1196225434994	0.9718576464778367	14	1:06:20
35.6%	178000	1441980.0271616802	1766381.2146616802	298.47037250400234	0.9718576464778367	14	1:06:10
35.8%	179000	1442951.9060679302	1768799.0310679302	299.8007298543203	0.9718576464778367	14	1:05:59
36.0%	180000	1443567.5623179302	1769080.1873179302	299.4929679118564	0.9718576464778367	14	1:05:49
36.2%	181000	1441608.0388804302	1767542.0388804302	299.88066055312913	0.9718576464778367	14	1:05:38
36.4%	182000	1441348.5271616802	1766827.8084116802	299.4622894745798	0.9718576464778367	14	1:05:28
36.6%	183000	1443111.7498179302	1768241.7185679302	299.14089906044853	0.9718576464778367	14	1:05:17
36.8%	184000	1443222.0349741802	1767376.2849741802	298.24317380544574	0.9718576464778367	14	1:05:08
37.0%	185000	1441322.2771616802	1765381.7146616802	298.1559400859544	0.9718576464778367	14	1:04:59
37.2%	186000	1437843.9295054302	1761931.4920054302	298.1818169308925	0.9718576464778367	13.9	1:04:51
37.4%	187000	1442209.0505991802	1767388.6443491802	299.1865573157393	0.9718576464778367	13.9	1:04:43
37.6%	188000	1442271.9880991802	1768609.3630991802	300.2517920136414	0.9718576464778367	13.9	1:04:44
37.8%	189000	1439216.4646616802	1765245.9646616802	299.96852681771895	0.9718576464778367	13.8	1:04:47
38.0%	190000	1438912.2263804302	1763860.1013804302	298.9733608654993	0.9718576464778367	13.8	1:04:50
38.2%	191000	1439114.8318491802	1764140.9568491802	299.04535599852704	0.9718576464778367	13.7	1:04:54
38.4%	192000	1440350.0974741802	1767419.2849741802	300.925107518931	0.9718576464778367	13.6	1:04:59
38.6%	193000	1439341.4451304302	1765330.4451304302	299.9312641610081	0.9718576464778367	13.6	1:05:04
38.8%	194000	1440587.4802866802	1765343.6052866802	298.79693828712124	0.9718576464778367	13.5	1:05:09
39.0%	195000	1441609.5310679302	1767078.0623179302	299.4523987694035	0.9718576464778367	13.5	1:05:13
39.2%	196000	1441016.8552866802	1766720.2927866802	299.66852792873647	0.9718576464778367	13.4	1:05:18
39.4%	197000	1439243.5701304302	1766440.2576304302	301.0424158826504	0.9718576464778367	13.3	1:05:22
39.6%	198000	1438113.3357554302	1764241.5232554302	300.05932579140176	0.9718576464778367	13.3	1:05:26
39.8%	199000	1438912.9373179302	1764181.2810679302	299.268213137544	0.9718576464778367	13.2	1:05:32
40.0%	200000	1438248.7146616802	1763409.1521616802	299.1689323091315	0.9718576464778367	13.2	1:05:36
40.2%	201000	1433524.8904429302	1758376.2029429302	298.8845170312118	0.9718576464778367	13.1	1:05:41
40.4%	202000	1437849.1170054302	1765548.9920054302	301.50538139064304	0.9718576464778367	13.1	1:05:45
40.6%	203000	1437337.4490366802	1762440.4177866802	299.11605728930795	0.9718576464778367	13	1:05:49
40.8%	204000	1433441.7654429302	1758499.4841929302	299.0744243210075	0.9718576464778367	12.9	1:05:52
41.0%	205000	1435086.2263804302	1760967.7263804302	299.83235710924464	0.9718576464778367	12.9	1:05:55
41.2%	206000	1436418.8318491802	1761542.5818491802	299.1351774025122	0.9718576464778367	12.8	1:05:58
41.4%	207000	1440518.0701304302	1767476.8201304302	300.823497774474	0.9718576464778367	12.8	1:06:00
41.6%	208000	1435790.1443491802	1761951.4568491802	300.0898029643289	0.9718576464778367	12.7	1:06:02
41.8%	209000	1442383.8630991802	1769559.9880991802	301.0234970337956	0.9718576464778367	12.7	1:06:04
42.0%	210000	1441788.1170054302	1767261.7107554302	299.45705660149235	0.9718576464778367	12.6	1:06:06
42.2%	211000	1439690.1013804302	1764519.7888804302	298.86462061265934	0.9718576464778367	12.6	1:06:07
42.4%	212000	1438719.0115366802	1765533.4802866802	300.69074955994154	0.9718576464778367	12.5	1:06:11
42.6%	213000	1435898.5974741802	1761562.3162241802	299.6319840732739	0.9718576464778367	12.5	1:06:16
42.8%	214000	1439780.0623179302	1765185.5623179302	299.39440588469216	0.9718576464778367	12.4	1:06:17
43.0%	215000	1439613.8630991802	1766613.6755991802	300.86127796808364	0.9718576464778367	12.4	1:06:17
43.2%	216000	1440983.8630991802	1765812.7380991802	298.86387305936114	0.9718576464778367	12.3	1:06:17
43.4%	217000	1439009.5505991802	1763569.8630991802	298.61677794225216	0.9718576464778367	12.3	1:06:18
43.6%	218000	1445845.3162241802	1770679.0349741802	298.8683296271005	0.9718576464778367	12.2	1:06:18
43.8%	219000	1443447.0271616802	1770325.6209116802	300.7497487664004	0.9718576464778367	12.2	1:06:18
44.0%	220000	1443340.1287241802	1768500.4412241802	299.1688173009318	0.9718576464778367	12.2	1:06:18
44.2%	221000	1444691.1482554302	1769178.7107554302	298.54984317001225	0.9718576464778367	12.1	1:06:17
44.4%	222000	1445687.3005991802	1771645.0505991802	299.9025121110769	0.9718576464778367	12.1	1:06:17
44.6%	223000	1443461.4099741802	1769469.9412241802	299.9492341922151	0.9718576464778367	12	1:06:15
44.8%	224000	1443677.3318491802	1767592.9880991802	298.0236519042208	0.9718576464778367	12	1:06:14
45.0%	225000	1442685.4920054302	1768042.8670054302	299.35012772779805	0.9718576464778367	12	1:06:12
45.2%	226000	1444630.6951304302	1769971.7576304302	299.33511915773397	0.9718576464778367	11.9	1:06:10
45.4%	227000	1445583.9451304302	1771897.1638804302	300.2295666790446	0.9718576464778367	11.9	1:06:08
45.6%	228000	1448376.2615366802	1773520.7302866802	299.1542400116166	0.9718576464778367	11.8	1:06:06
45.8%	229000	1443805.7224741802	1768598.4099741802	298.8305781855408	0.9718576464778367	11.8	1:06:04
46.0%	230000	1446681.5974741802	1771953.0349741802	299.2710595904872	0.9718576464778367	11.8	1:06:01
46.2%	231000	1444839.6560679302	1770227.5310679302	299.37818972853097	0.9718576464778367	11.7	1:05:58
46.4%	232000	1444055.1873179302	1770429.3435679302	300.2856331764105	0.9718576464778367	11.7	1:05:55
46.6%	233000	1447829.4959116802	1773199.1834116802	299.361456035471	0.9718576464778367	11.7	1:05:52
46.8%	234000	1446270.9880991802	1770969.0505991802	298.743516978349	0.9718576464778367	11.6	1:05:48
47.0%	235000	1449201.1130991802	1775246.8318491802	299.9834491316333	0.9718576464778367	11.6	1:05:45
47.2%	236000	1450182.0896616802	1773789.4334116802	297.7399841795993	0.9718576464778367	11.6	1:05:41
47.4%	237000	1452335.6404429302	1775676.7966929302	297.4950742182851	0.9718576464778367	11.5	1:05:37
47.6%	238000	1451449.2576304302	1776418.0701304302	298.99262473895317	0.9718576464778367	11.5	1:05:33
47.8%	239000	1449132.9724741802	1775392.1599741802	300.1798543847135	0.9718576464778367	11.5	1:05:29
48.0%	240000	1447480.6091929302	1772522.7341929302	299.06007704809184	0.9718576464778367	11.4	1:05:25
48.2%	241000	1452651.5935679302	1779470.4060679302	300.69474609488196	0.9718576464778367	11.4	1:05:21
48.4%	242000	1450138.7029429302	1776276.8279429302	300.0684689432799	0.9718576464778367	11.4	1:05:17
48.6%	243000	1445591.0076304302	1772011.2263804302	300.3280136980091	0.9718576464778367	11.3	1:05:12
48.8%	244000	1444106.7029429302	1770488.2029429302	300.29238990814434	0.9718576464778367	11.3	1:05:09
49.0%	245000	1446027.7420054302	1772419.1482554302	300.30150430797255	0.9718576464778367	11.3	1:05:06
49.2%	246000	1448019.6287241802	1771569.1287241802	297.6867641351766	0.9718576464778367	11.2	1:05:02
49.4%	247000	1446454.4802866802	1772044.7927866802	299.56444550798545	0.9718576464778367	11.2	1:04:57
49.6%	248000	1447262.0505991802	1771319.3630991802	298.1539849465591	0.9718576464778367	11.2	1:04:57
49.8%	249000	1446195.9724741802	1770390.9099741802	298.28060897445624	0.9718576464778367	11.1	1:05:01
50.0%	250000	1446993.9373179302	1773804.3435679302	300.6870117934505	0.9718576464778367	11.1	1:05:06
50.2%	251000	1446680.3787241802	1772917.5349741802	300.159584189512	0.9718576464778367	11	1:05:11
50.4%	252000	1443001.4880991802	1769777.8005991802	300.6556433069755	0.9718576464778367	10.9	1:05:16
50.6%	253000	1443555.5545054302	1768525.2420054302	298.9934297963512	0.9718576464778367	10.9	1:05:21
50.8%	254000	1445824.5896616802	1771344.6834116802	299.49983965179	0.9718576464778367	10.8	1:05:25
51.0%	255000	1444889.3123179302	1768701.2498179302	297.9282238504991	0.9718576464778367	10.8	1:05:30
51.2%	256000	1448150.4334116802	1775167.4021616802	300.8770628434959	0.9718576464778367	10.7	1:05:34
51.4%	257000	1445652.6990366802	1771010.7615366802	299.3507602728966	0.9718576464778367	10.7	1:05:38
51.6%	258000	1449415.2576304302	1775021.7888804302	299.5793678218998	0.9718576464778367	10.6	1:05:41
51.8%	259000	1447353.2380991802	1771925.8630991802	298.62810624992505	0.9718576464778367	10.6	1:05:45
52.0%	260000	1449175.6326304302	1775970.1013804302	300.67234824798555	0.9718576464778367	10.5	1:05:48
52.2%	261000	1446873.4568491802	1770223.2693491802	297.50303853611604	0.9718576464778367	10.5	1:05:51
52.4%	262000	1449086.5193491802	1774345.2068491802	299.25932875411524	0.9718576464778367	10.4	1:05:53
52.6%	263000	1452146.4099741802	1777329.4724741802	299.1897487932817	0.9718576464778367	10.4	1:05:56
52.8%	264000	1450306.6091929302	1776159.4216929302	299.8059627274078	0.9718576464778367	10.3	1:05:58
