#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
5.0%	25000	493693.94327246957	621231.1542099696	299.86610329760515	0.9626389289889488	21.2	1:04:40
5.2%	26000	497168.75967871957	624055.5331162196	298.33679152161517	0.9626389289889488	21.1	1:04:46
5.4%	27000	500913.75577246957	626962.7635849696	296.3670329578299	0.9626389289889488	21	1:04:51
5.6%	28000	504057.71963965707	631066.6415146571	298.6239875149082	0.9626389289889488	20.9	1:04:55
5.8%	29000	505065.93350684457	631755.2772568446	297.87259389152194	0.9626389289889488	20.9	1:04:59
6.0%	30000	507947.22061621957	635378.2206162196	299.6163796309075	0.9626389289889488	20.8	1:05:04
6.2%	31000	508465.40811621957	635647.7674912196	299.03177459844545	0.9626389289889488	20.7	1:05:12
6.4%	32000	511963.18350684457	638217.9803818446	296.8508851905981	0.9626389289889488	20.6	1:05:18
6.6%	33000	514522.15225684457	642027.3944443446	299.79093821896396	0.9626389289889488	20.6	1:05:24
6.8%	34000	516061.28506934457	642632.8475693446	297.59566605046757	0.9626389289889488	20.5	1:05:31
7.0%	35000	516814.08585059457	644341.2499130946	299.84248103682006	0.9626389289889488	20.4	1:05:39
7.2%	36000	519759.46475684457	647911.3475693446	301.31132276420624	0.9626389289889488	20.3	1:05:49
7.4%	37000	519975.75577246957	647056.8963974696	298.7937885869901	0.9626389289889488	20.2	1:05:55
7.6%	38000	522573.32706153207	650375.8348740321	300.48987058511676	0.9626389289889488	20.1	1:06:03
7.8%	39000	521330.26553809457	649275.4686630946	300.8253764896577	0.9626389289889488	20.1	1:06:10
8.0%	40000	522881.99210059457	650296.5077255946	299.57762148918385	0.9626389289889488	20	1:06:18
8.2%	41000	522830.71475684457	650876.9335068446	301.0628849126368	0.9626389289889488	19.9	1:06:24
8.4%	42000	520921.15225684457	648730.8553818446	300.5067882384473	0.9626389289889488	19.8	1:06:31
8.6%	43000	521816.83487403207	650203.8036240321	301.8640579502746	0.9626389289889488	19.7	1:06:38
8.8%	44000	522815.11221778207	649819.7215927821	298.6138479441824	0.9626389289889488	19.7	1:06:44
9.0%	45000	524211.26358496957	651709.3495224696	299.7741124095712	0.9626389289889488	19.6	1:06:49
9.2%	46000	524283.79483496957	651559.2948349696	299.2507672835775	0.9626389289889488	19.5	1:06:57
9.4%	47000	524053.64053809457	650915.1717880946	298.2774419690517	0.9626389289889488	19.5	1:07:02
9.6%	48000	521893.24210059457	650049.8827255946	301.32250935582215	0.9626389289889488	19.4	1:07:06
9.8%	49000	523269.27335059457	651103.7889755946	300.5651275076957	0.9626389289889488	19.3	1:07:12
10.0%	50000	523559.09366309457	651849.6327255946	301.63733200558545	0.9626389289889488	19.3	1:07:16
10.2%	51000	522112.71670996957	650147.8182724696	301.0367461279578	0.9626389289889488	19.2	1:07:21
10.4%	52000	522509.86514746957	649844.3885849696	299.38954347349295	0.9626389289889488	19.1	1:07:25
10.6%	53000	521943.64835059457	650253.0936630946	301.68178447144857	0.9626389289889488	19.1	1:07:28
10.8%	54000	519960.46280371957	647894.6815537196	300.799549974367	0.9626389289889488	19	1:07:33
11.0%	55000	519473.75772559457	647603.6796005946	301.2596881024124	0.9626389289889488	19	1:07:36
11.2%	56000	521137.22647559457	648839.3202255946	300.2537765587787	0.9626389289889488	18.9	1:07:39
11.4%	57000	523725.39444434457	652047.5038193446	301.7115602760618	0.9626389289889488	18.8	1:07:42
11.6%	58000	523639.77920996957	650180.6385849696	297.5234767154089	0.9626389289889488	18.8	1:07:45
11.8%	59000	523287.86807715707	651397.4305771571	301.2118190420656	0.9626389289889488	18.7	1:07:46
12.0%	60000	524326.5096787196	651158.2518662196	298.20740178213606	0.9626389289889488	18.7	1:07:49
12.2%	61000	526015.5780380946	652940.8671005946	298.4273496442205	0.9626389289889488	18.6	1:07:51
12.4%	62000	525990.4393662196	654462.4081162196	302.063910358783	0.9626389289889488	18.6	1:07:53
12.6%	63000	527483.8241318446	654409.4803818446	298.4282129772352	0.9626389289889488	18.5	1:07:55
12.8%	64000	527760.4393662196	654647.4628037196	298.3373793228167	0.9626389289889488	18.5	1:07:58
13.0%	65000	527414.7567490321	653673.4520615321	296.86005121558395	0.9626389289889488	18.4	1:08:00
