#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
21.8%	109000	299.38601632252227	13.7	1:22:02
22.0%	110000	299.83466305498746	13.7	1:22:01
22.2%	111000	299.8878422537557	13.7	1:22:00
22.4%	112000	301.0156052919193	13.6	1:21:59
22.6%	113000	301.601974542623	13.6	1:21:58
22.8%	114000	300.7292131485529	13.6	1:21:57
23.0%	115000	299.55658016142866	13.5	1:21:55
23.2%	116000	299.31260475993696	13.5	1:21:53
23.4%	117000	300.4532932978011	13.5	1:21:50
23.6%	118000	299.4698210420097	13.4	1:21:47
23.8%	119000	298.8764087128976	13.4	1:21:45
24.0%	120000	300.0224784792086	13.4	1:21:42
24.2%	121000	298.43306407316675	13.4	1:21:38
24.4%	122000	299.76064478527337	13.3	1:21:35
24.6%	123000	299.655869101986	13.3	1:21:32
24.8%	124000	298.3007491619458	13.3	1:21:27
25.0%	125000	298.6739795604436	13.3	1:21:24
25.2%	126000	300.499877853865	13.2	1:21:20
25.4%	127000	299.50013001987907	13.2	1:21:15
25.6%	128000	298.98263521758	13.2	1:21:11
25.8%	129000	298.7880668792296	13.2	1:21:06
26.0%	130000	299.8914033608161	13.1	1:21:02
26.2%	131000	300.4638183475574	13.1	1:20:57
26.4%	132000	301.1600279671455	13.1	1:20:52
26.6%	133000	300.041945864472	13.1	1:20:47
26.8%	134000	297.9452187844666	13.1	1:20:41
27.0%	135000	300.0278069505137	13	1:20:35
27.2%	136000	299.4256369358902	13	1:20:30
27.4%	137000	299.05388373735826	13	1:20:24
27.6%	138000	298.4933654860557	13	1:20:18
27.8%	139000	300.1462467334846	13	1:20:12
28.0%	140000	299.8888973965884	12.9	1:20:06
28.2%	141000	298.7413504303117	12.9	1:19:59
28.4%	142000	301.13523211057696	12.9	1:19:53
28.6%	143000	300.50850364652234	12.9	1:19:47
28.8%	144000	298.2749245411154	12.9	1:19:40
29.0%	145000	300.48813938985114	12.9	1:19:33
29.2%	146000	300.2121667819577	12.8	1:19:26
29.4%	147000	299.64225775944413	12.8	1:19:20
29.6%	148000	301.53222960138135	12.8	1:19:14
29.8%	149000	299.4666819920824	12.8	1:19:07
30.0%	150000	300.2277301387401	12.8	1:19:00
30.2%	151000	299.93120862417976	12.7	1:18:52
30.4%	152000	299.417433200366	12.7	1:18:45
30.6%	153000	299.2109153694352	12.7	1:18:37
30.8%	154000	300.1629971259538	12.7	1:18:28
31.0%	155000	299.725851450365	12.7	1:18:21
31.2%	156000	299.58601864646107	12.7	1:18:12
31.4%	157000	299.8574805187447	12.7	1:18:04
31.6%	158000	299.75837622818307	12.6	1:17:56
31.8%	159000	299.66673707316284	12.6	1:17:47
32.0%	160000	298.07668958142136	12.6	1:17:39
32.2%	161000	300.2696456877692	12.6	1:17:30
32.4%	162000	299.4207832788598	12.6	1:17:21
32.6%	163000	300.5774572306394	12.6	1:17:12
32.8%	164000	300.1693543615208	12.6	1:17:03
33.0%	165000	298.41090607368	12.5	1:16:55
33.2%	166000	298.0869772240402	12.5	1:16:46
33.4%	167000	299.286859274819	12.5	1:16:37
33.6%	168000	299.0963004792329	12.5	1:16:28
33.8%	169000	298.99635207440514	12.5	1:16:18
34.0%	170000	299.59722953905856	12.5	1:16:09
34.2%	171000	299.4555502351974	12.5	1:16:01
34.4%	172000	298.28386687662254	12.5	1:15:51
34.6%	173000	298.30140862621624	12.4	1:15:42
34.8%	174000	298.8681522202317	12.4	1:15:32
35.0%	175000	298.9412208613964	12.4	1:15:22
35.2%	176000	298.410325745122	12.4	1:15:13
35.4%	177000	299.61028693161325	12.4	1:15:03
35.6%	178000	299.63671825957243	12.4	1:14:53
35.8%	179000	299.7051970294148	12.4	1:14:43
36.0%	180000	299.4913723343676	12.4	1:14:33
36.2%	181000	299.94555856670456	12.4	1:14:22
36.4%	182000	300.66448013576655	12.3	1:14:12
36.6%	183000	298.54527851342465	12.3	1:14:02
36.8%	184000	299.2879935533642	12.3	1:13:52
37.0%	185000	299.6503296021143	12.3	1:13:42
37.2%	186000	299.57435931815974	12.3	1:13:31
37.4%	187000	298.43192979462157	12.3	1:13:20
37.6%	188000	298.8117020786821	12.3	1:13:09
37.8%	189000	300.05888090693685	12.3	1:12:59
38.0%	190000	300.4612068690464	12.3	1:12:48
38.2%	191000	299.0056900884746	12.3	1:12:38
38.4%	192000	298.79397567909274	12.2	1:12:27
38.6%	193000	299.91960205302	12.2	1:12:16
38.8%	194000	299.45143517814984	12.2	1:12:05
39.0%	195000	300.99120511391305	12.2	1:11:55
39.2%	196000	300.13685596227356	12.2	1:11:44
39.4%	197000	298.5243075496247	12.2	1:11:33
39.6%	198000	299.17034512751786	12.2	1:11:22
39.8%	199000	299.7670811565529	12.2	1:11:11
40.0%	200000	300.46669361177646	12.2	1:11:00
40.2%	201000	300.42374929848546	12.2	1:10:48
40.4%	202000	300.29552306574124	12.2	1:10:37
40.6%	203000	299.51068144820607	12.1	1:10:26
40.8%	204000	300.32504068648615	12.1	1:10:14
41.0%	205000	299.07279717263447	12.1	1:10:03
41.2%	206000	299.61208067442885	12.1	1:09:51
41.4%	207000	299.98525831578496	12.1	1:09:40
41.6%	208000	299.9232422957929	12.1	1:09:28
41.8%	209000	298.87543270577737	12.1	1:09:17
42.0%	210000	300.12015832694607	12.1	1:09:06
42.2%	211000	298.8144982071888	12.1	1:08:54
42.4%	212000	298.34036977531383	12.1	1:08:43
42.6%	213000	299.25356951844725	12.1	1:08:31
42.8%	214000	301.0498974339821	12.1	1:08:19
43.0%	215000	299.8219222052826	12	1:08:07
