#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
23.4%	117000	299.13495696729103	24.4	45:14
23.6%	118000	298.3006787780709	24.4	45:09
23.8%	119000	299.594090547884	24.3	45:05
24.0%	120000	299.68867703307046	24.3	45:02
24.2%	121000	297.4138729842589	24.3	44:59
24.4%	122000	298.2198359428425	24.2	44:54
24.6%	123000	298.85425165616675	24.2	44:50
24.8%	124000	296.6949899389971	24.2	44:45
25.0%	125000	298.9885972143911	24.2	44:40
25.2%	126000	298.4551154551095	24.1	44:36
25.4%	127000	299.1535946077294	24.1	44:32
25.6%	128000	299.4851348650841	24.1	44:28
25.8%	129000	298.08350335088926	24.1	44:23
26.0%	130000	298.4885638562122	24	44:18
26.2%	131000	300.0916033169809	24	44:13
26.4%	132000	296.5639745021146	24	44:08
26.6%	133000	298.3442463324226	24	44:03
26.8%	134000	300.39523310982906	24	43:58
27.0%	135000	301.57076594352276	23.9	43:53
27.2%	136000	299.28794016595384	23.9	43:49
27.4%	137000	297.2676972159635	23.9	43:43
27.6%	138000	300.71737175389245	23.9	43:38
27.8%	139000	300.443124302387	23.9	43:33
28.0%	140000	299.6207867140006	23.9	43:28
28.2%	141000	298.06002691535184	23.8	43:23
28.4%	142000	300.3484458248983	23.8	43:18
28.6%	143000	299.34659445787656	23.8	43:13
28.8%	144000	299.4692569937136	23.8	43:08
29.0%	145000	297.5981887610724	23.7	43:03
29.2%	146000	299.16868134530057	23.7	42:58
29.4%	147000	298.56285683951955	23.7	42:53
29.6%	148000	298.5238153064393	23.7	42:48
29.8%	149000	298.8524486070424	23.7	42:42
30.0%	150000	299.45089533018194	23.6	42:37
30.2%	151000	299.6214674570374	23.6	42:32
30.4%	152000	302.4237185701022	23.6	42:27
30.6%	153000	297.6725553382215	23.6	42:22
30.8%	154000	300.7441599123114	23.6	42:16
31.0%	155000	299.7323181812639	23.6	42:11
31.2%	156000	299.46164003108623	23.5	42:06
31.4%	157000	300.35749786744094	23.5	42:00
31.6%	158000	297.8701548034817	23.5	41:54
31.8%	159000	299.45543974991375	23.5	41:48
32.0%	160000	299.3806868050951	23.5	41:43
32.2%	161000	301.68001600168986	23.5	41:37
32.4%	162000	299.64923073386024	23.4	41:31
32.6%	163000	299.7237996940744	23.4	41:25
32.8%	164000	300.1823813208537	23.4	41:19
33.0%	165000	297.4953045702218	23.4	41:13
33.2%	166000	298.7149385136202	23.4	41:07
33.4%	167000	298.55360241391196	23.4	41:01
33.6%	168000	300.0217627611031	23.4	40:55
33.8%	169000	302.0421528987771	23.4	40:48
34.0%	170000	298.3660669065192	23.3	40:42
34.2%	171000	295.62149496697316	23.3	40:36
34.4%	172000	299.1911090685922	23.3	40:30
34.6%	173000	298.888656777213	23.3	40:24
34.8%	174000	297.99651542986965	23.3	40:18
35.0%	175000	298.3927998695568	23.3	40:11
35.2%	176000	301.78987320905196	23.3	40:05
35.4%	177000	299.27439889906077	23.3	39:59
35.6%	178000	298.8707366767322	23.3	39:52
35.8%	179000	297.9868562381321	23.2	39:46
36.0%	180000	302.00585273630423	23.2	39:40
36.2%	181000	297.81407629602234	23.2	39:34
36.4%	182000	297.85171954610826	23.2	39:27
36.6%	183000	298.44013910830114	23.2	39:21
36.8%	184000	299.60627032870354	23.2	39:14
37.0%	185000	300.2607035670002	23.2	39:08
37.2%	186000	299.6802689366437	23.2	39:02
37.4%	187000	300.0977484027721	23.2	38:56
37.6%	188000	301.3174559400123	23.1	38:49
37.8%	189000	299.1900971532673	23.1	38:43
38.0%	190000	298.6478945237311	23.1	38:36
38.2%	191000	299.6530208167135	23.1	38:29
38.4%	192000	298.5003388709018	23.1	38:23
38.6%	193000	297.55314932988455	23.1	38:17
38.8%	194000	297.275038201684	23.1	38:10
39.0%	195000	297.39893343437143	23.1	38:04
39.2%	196000	297.9643733194591	23.1	37:57
39.4%	197000	299.2023505279287	23.1	37:51
39.6%	198000	298.79898268096736	23	37:44
